,quant,min_temp,max_temp,day-1,day-2,day-3,day-4,day-5,day-6,day-7,day-8,day-9,day-10
313,0,18.0,24.0,0,0,7761600,0,0,0,9999360,0,0,422400
314,3155040,26.0,34.0,0,0,0,7761600,0,0,0,9999360,0,0
315,0,15.0,18.0,3155040,0,0,0,7761600,0,0,0,9999360,0
316,0,14.0,19.0,0,3155040,0,0,0,7761600,0,0,0,9999360
317,483840,23.0,31.0,0,0,3155040,0,0,0,7761600,0,0,0
318,0,16.0,18.0,483840,0,0,3155040,0,0,0,7761600,0,0
319,0,19.0,23.0,0,483840,0,0,3155040,0,0,0,7761600,0
320,0,18.0,24.0,0,0,483840,0,0,3155040,0,0,0,7761600
321,0,16.0,21.0,0,0,0,483840,0,0,3155040,0,0,0
322,2993760,22.0,35.0,0,0,0,0,483840,0,0,3155040,0,0
323,19200,24.0,31.0,2993760,0,0,0,0,483840,0,0,3155040,0
324,0,15.0,18.0,19200,2993760,0,0,0,0,483840,0,0,3155040
325,0,15.0,19.0,0,19200,2993760,0,0,0,0,483840,0,0
326,460800,9.0,14.0,0,0,19200,2993760,0,0,0,0,483840,0
327,0,14.0,18.0,460800,0,0,19200,2993760,0,0,0,0,483840
328,844800,11.0,15.0,0,460800,0,0,19200,2993760,0,0,0,0
329,2150400,8.0,16.0,844800,0,460800,0,0,19200,2993760,0,0,0
330,3024000,13.0,20.0,2150400,844800,0,460800,0,0,19200,2993760,0,0
331,0,14.0,24.0,3024000,2150400,844800,0,460800,0,0,19200,2993760,0
332,460800,21.0,30.0,0,3024000,2150400,844800,0,460800,0,0,19200,2993760
333,460800,19.0,30.0,460800,0,3024000,2150400,844800,0,460800,0,0,19200
334,0,14.0,23.0,460800,460800,0,3024000,2150400,844800,0,460800,0,0
335,0,15.0,21.0,0,460800,460800,0,3024000,2150400,844800,0,460800,0
336,0,14.0,19.0,0,0,460800,460800,0,3024000,2150400,844800,0,460800
337,2892960,23.0,34.0,0,0,0,460800,460800,0,3024000,2150400,844800,0
338,2257920,23.0,31.0,2892960,0,0,0,460800,460800,0,3024000,2150400,844800
339,0,14.0,21.0,2257920,2892960,0,0,0,460800,460800,0,3024000,2150400
340,0,16.0,25.0,0,2257920,2892960,0,0,0,460800,460800,0,3024000
